site,transect,GIS_id,demog_id,window,max.ht,max.w,perp.w,max.ht.dead,max.w.dea,perp.w.dead,notes,outwindow
FPS,2,,2-150-3,150,52,53,46,41,27,30,,
FPS,2,,2-150-4,150,41,53,40,23,27,21,,
FPS,2,,2-150-5,150,103,70,58,140,316,255,,
FPS,2,,2-150-6,150,53,55,41,0,0,0,,
FPS,2,,,155,57,86,81,0,0,0,,
FPS,2,,2-150-7,155,73,77,47,22,43,43,,
FPS,2,,2-150-10,155,47,49,47,28,22,12,,
FPS,2,,,155,36,164,174,161,181,30,,
FPS,2,,,155,64,61,53,97,157,157,,
FPS,2,,,155,59,81,77,47,84,49,,
FPS,2,,,155,59,85,73,0,0,0,,
FPS,2,,,155,59,104,89,18,80,25,,
FPS,2,,,160,75,68,50,43,63,43,,
FPS,2,,,160,82,87,68,70,87,78,,
FPS,2,,,160,72,97,82,16,47,40,,
FPS,2,,,160,80,115,94,51,134,97,,
FPS,2,,,160,63,90,59,67,118,89,,
FPS,2,,,160,49,47,19,20,60,18,,
FPS,2,,2-200-1,200,82,85,72,126,215,204,,
FPS,2,,2-200-3,200,65,70,56,73,176,95,,
FPS,2,,2-200-5,200,97,141,81,135,193,176,,
FPS,2,,,210,85,124,78,169,281,282,,
FPS,2,,,220,55,64,67,88,118,132,,
FPS,2,,,240,104,89,99,176,191,204,,
FPS,2,,,245,29,43,38,33,58,50,,
FPS,2,,2-250-1,250,23,36,39,22,37,12,,
FPS,2,,2-250-5,255,50,53,42,34,72,67,,
FPS,2,,2-250-7,255,36,54,51,30,90,74,,
FPS,2,,,260,23,33,26,0,0,0,,
FPS,2,,,265,44,90,75,73,151,160,,
FPS,2,,,270,68,90,71,137,217,149,,
FPS,2,,,270,59,80,71,47,142,210,,
FPS,2,,,270,88,140,155,155,216,177,,
FPS,2,,,275,86,104,143,155,261,224,,
FPS,2,,,275,82,128,79,156,182,160,,
FPS,2,,,280,90,185,123,106,197,141,,
FPS,2,,2-350-1,345,74,112,73,112,252,241,,
FPS,2,,2-500-1,490,56,84,59,63,162,107,,
FPS,3,,3-0-1,0,64,88,68,96,135,107,,
FPS,3,,3-0-4,0,62,100,58,49,125,74,,
FPS,3,,3-0-5,0,61,83,51,35,105,50,,
FPS,3,,3-0-6,0,54,88,37,60,85,60,,
FPS,3,,3-0-8,0,61,99,60,73,123,122,,
FPS,3,,3-0-9,0,84,69,48,58,80,47,,
FPS,3,,,5,38,34,33,13,40,18,,
FPS,3,,,5,70,67,33,58,109,74,,
FPS,3,,,5,63,77,68,71,126,155,,
FPS,3,,,5,80,104,45,82,110,132,,
FPS,3,,,5,93,142,96,64,131,120,,
FPS,3,,,5,23,9,7,32,23,13,,
FPS,3,,,5,52,97,45,63,129,97,,
FPS,3,,,5,65,72,68,68,137,72,,
FPS,3,,,5,73,86,60,63,96,77,,
FPS,3,,,10,49,35,16,33,33,45,,
FPS,3,,,10,39,34,25,84,133,129,,
FPS,3,,,10,64,53,28,52,79,62,,
FPS,3,,,10,31,69,17,69,166,132,,
FPS,3,,,15,73,110,49,101,173,170,,
FPS,3,,,15,42,76,29,48,114,70,,
FPS,3,,,15,41,61,55,66,103,93,,
FPS,3,,,15,41,42,35,51,76,78,,
FPS,3,,,15,43,33,33,85,153,161,,
FPS,3,,,15,12,14,9,11,24,29,,
FPS,3,,,20,33,24,23,62,129,98,,
FPS,3,,,20,31,64,67,45,98,101,,
FPS,3,,,20,15,15,12,21,26,12,,
FPS,3,,,20,68,43,40,57,127,78,,
FPS,3,,,20,45,48,13,40,31,17,,
FPS,3,,,20,47,86,50,87,144,92,,
FPS,3,,,25,11,17,10,13,20,9,,
FPS,3,,,25,24,39,33,32,62,49,,
FPS,3,,,25,10,9,7,15,18,16,,
FPS,3,,,25,8,5,11,12,7,4,,
FPS,3,,,25,16,11,8,21,12,9,,
FPS,3,,,25,10,10,7,11,10,8,,
FPS,3,,,25,19,30,23,35,25,31,,
FPS,3,,,25,7,9,7,7,10,5,,
FPS,3,,,25,11,16,12,13,18,16,,
FPS,3,,,25,42,89,75,18,12,17,,
FPS,3,,,25,23,24,24,37,51,37,,
FPS,3,,,25,33,35,34,46,108,85,,
FPS,3,,,25,18,13,8,7,7,12,,
FPS,3,,,25,16,21,15,20,57,36,,
FPS,3,,,25,18,18,7,0,0,0,,
FPS,3,,,30,19,27,29,31,70,53,,
FPS,3,,,30,11,17,15,26,31,41,,
FPS,3,,,30,21,35,19,15,19,24,,
FPS,3,,,30,7,9,6,18,13,10,,
FPS,3,,,30,20,27,20,29,47,35,,
FPS,3,,,30,38,49,34,58,103,78,,
FPS,3,,,30,12,10,7,13,23,7,,
FPS,3,,,30,16,9,6,16,25,10,,
FPS,3,,,30,20,26,17,30,46,21,,
FPS,3,,,30,31,29,30,40,67,66,,
FPS,3,,,30,18,21,15,23,45,26,,
FPS,3,,,30,29,18,18,30,37,25,,
FPS,3,,,30,13,15,17,29,33,17,,
FPS,3,,,30,21,31,23,34,65,48,,
FPS,3,,,30,41,79,90,42,63,85,,
FPS,3,,,30,19,24,17,21,23,21,,
FPS,3,,,30,35,58,47,64,108,75,,
FPS,3,,,30,22,33,17,29,57,32,,
FPS,3,,,30,44,48,45,24,52,49,,
FPS,3,,,30,21,26,25,29,57,46,,
FPS,3,,,30,24,19,12,23,29,13,,
FPS,3,,,30,47,19,15,14,13,29,,
FPS,3,,,30,20,22,16,25,17,11,,
FPS,3,,,30,72,58,55,102,100,124,,
FPS,3,,,30,97,86,77,57,117,88,,
FPS,3,,,30,58,36,32,78,67,55,,
FPS,3,,,30,26,25,21,48,70,47,,
FPS,3,,,30,63,63,67,43,91,68,,
FPS,3,,,30,67,52,30,51,83,53,,
FPS,3,,,30,34,23,26,74,86,72,,
FPS,3,,,35,17,15,11,0,0,0,,
FPS,3,,,35,68,66,36,53,75,60,,
FPS,3,,,35,62,55,27,74,88,65,,
FPS,3,,,35,48,81,65,14,62,49,,
FPS,3,,,35,69,91,74,65,78,76,,
FPS,3,,,35,43,61,37,72,64,83,,
FPS,3,,,35,48,60,39,74,117,116,,
FPS,3,,,35,66,61,51,88,118,89,,
FPS,3,,,35,54,44,59,70,120,107,,
FPS,3,,,35,74,42,50,57,60,62,,
FPS,3,,,35,107,94,74,94,124,98,,
FPS,3,,,35,76,81,35,78,65,84,,
FPS,3,,,35,45,29,29,30,44,18,,
FPS,3,,,35,48,37,26,56,62,73,,
FPS,3,,,35,56,38,21,70,67,26,,
FPS,3,,,35,26,17,12,31,49,20,,
FPS,3,,,35,71,50,38,64,80,58,,
FPS,3,,,35,89,104,83,59,127,93,,
FPS,3,,,35,73,55,47,77,80,74,,
FPS,3,,,35,75,45,28,39,62,41,,
FPS,3,,,40,38,32,32,42,64,52,,
FPS,3,,,40,48,42,46,70,76,120,,
FPS,3,,,40,89,72,71,90,138,139,,
FPS,3,,,40,53,49,40,51,53,91,,
FPS,3,,,40,38,29,20,40,55,51,,
FPS,3,,,40,16,14,9,10,14,6,,
FPS,3,,,40,46,54,48,44,110,147,,
FPS,3,,,40,28,32,26,31,58,47,,
FPS,3,,,40,73,104,72,82,143,128,,
FPS,3,,,40,85,132,88,74,152,125,,
FPS,3,,,40,91,124,69,93,124,114,,
FPS,3,,,45,23,30,18,46,69,53,,
FPS,3,,,45,50,83,57,95,118,130,,
FPS,3,,,45,38,42,22,38,94,95,,
FPS,3,,,45,53,55,42,63,95,92,,
FPS,3,,,45,58,76,50,59,141,85,,
FPS,3,,,45,20,21,15,51,58,39,,
FPS,3,,,45,66,67,33,61,90,73,,
FPS,3,,,45,40,31,25,46,58,52,,
FPS,3,,,45,22,29,22,19,43,28,,
FPS,3,,,45,40,29,30,42,57,45,,
FPS,3,,,45,28,56,44,42,77,81,,
FPS,3,,,45,39,50,28,55,114,75,,
FPS,3,,,45,51,66,31,37,83,61,,
FPS,3,,,45,41,39,40,48,96,78,,
FPS,3,,,45,18,44,31,35,87,83,,
FPS,3,,,45,17,22,16,28,33,39,,
FPS,3,,,45,11,14,12,19,20,32,,
FPS,3,,3-50-6,50,23,13,7,36,68,43,,
FPS,3,,3-50-7,50,17,19,19,35,68,40,,
FPS,3,,3-50-8,50,39,23,28,44,79,84,,
FPS,3,,3-50-9,50,23,25,19,34,72,50,,
FPS,3,,3-50-10,50,21,21,18,48,72,53,,
FPS,3,,,50,31,25,23,76,124,60,,
FPS,3,,,50,65,38,37,60,72,53,,
FPS,3,,,50,29,32,29,56,77,54,,
FPS,3,,,50,34,29,22,64,102,76,,
FPS,3,,,50,35,34,37,60,104,75,,
FPS,3,,,50,29,31,29,51,63,71,,
FPS,3,,,50,34,18,17,45,77,55,,
FPS,3,,,50,67,57,33,55,106,68,,
FPS,3,,,50,22,35,19,54,67,44,,
FPS,3,,,50,59,57,56,56,118,89,,
FPS,3,,,50,29,26,17,55,78,62,,
FPS,3,,,50,83,74,39,83,111,109,,
FPS,3,,,50,75,72,35,69,102,110,,
FPS,3,,,50,62,38,28,67,98,82,,
FPS,3,,,50,11,13,9,26,19,10,,
FPS,3,,,50,71,48,48,65,106,74,,
FPS,3,,,50,31,48,46,36,65,59,,
FPS,3,,,50,23,36,27,58,108,73,,
FPS,3,,,50,40,39,24,61,79,62,,
FPS,3,,,50,22,15,12,54,48,37,,
FPS,3,,,55,41,48,34,65,68,93,,
FPS,3,,,55,32,39,29,45,83,67,,
FPS,3,,,55,26,42,45,46,77,45,,
FPS,3,,,55,19,17,17,42,59,37,,
FPS,3,,,55,62,18,17,60,63,45,,
FPS,3,,,55,30,53,44,55,126,104,,
FPS,3,,,55,61,66,47,59,94,86,,
FPS,3,,,55,12,16,8,26,25,23,,
FPS,3,,,55,9,11,15,10,7,4,,
FPS,3,,,55,30,30,15,35,62,51,,
FPS,3,,,55,84,66,47,97,142,129,,
FPS,3,,,55,61,85,48,83,85,70,,
FPS,3,,,55,65,22,23,60,101,92,,
FPS,3,,,55,56,46,59,58,49,58,,
FPS,3,,,55,86,83,59,84,116,55,,
FPS,3,,,55,21,17,16,22,35,38,,
FPS,3,,,55,64,71,82,70,94,79,,
FPS,3,,,60,45,36,30,52,73,67,,
FPS,3,,,60,25,29,23,40,63,33,,
FPS,3,,,60,33,32,24,46,90,61,,
FPS,3,,,60,41,23,20,42,76,59,,
FPS,3,,,60,45,60,47,45,105,70,,
FPS,3,,,60,75,80,51,66,110,107,,
FPS,3,,,60,48,37,41,47,74,65,,
FPS,3,,,60,41,29,19,49,53,42,,
FPS,3,,,60,37,33,16,33,49,44,,
FPS,3,,,60,46,44,32,59,78,77,,
FPS,3,,,60,33,25,16,50,70,67,,
FPS,3,,,60,34,37,39,60,82,61,,
FPS,3,,,60,45,26,21,42,64,76,,
FPS,3,,,60,44,33,36,53,91,66,,
FPS,3,,,60,20,25,13,43,48,27,,
FPS,3,,,60,36,30,29,49,85,81,,
FPS,3,,,60,23,30,27,31,52,43,,
FPS,3,,,60,22,17,15,35,52,48,,
FPS,3,,,65,17,20,18,24,50,37,,
FPS,3,,,65,41,38,42,56,116,68,,
FPS,3,,,65,27,41,31,60,105,69,,
FPS,3,,,65,23,24,23,28,66,72,,
FPS,3,,,65,47,38,36,52,64,62,,
FPS,3,,,65,43,29,29,27,64,44,,
FPS,3,,,65,12,12,18,17,23,18,,
FPS,3,,,65,25,16,13,51,38,23,,
FPS,3,,,65,15,23,19,33,49,44,,
FPS,3,,,65,92,72,48,90,128,132,,
FPS,3,,,65,25,38,21,39,83,46,,
FPS,3,,,65,13,12,14,15,17,15,,
FPS,3,,,65,29,18,13,35,60,25,,
FPS,3,,,65,15,24,12,41,58,53,,
FPS,3,,,65,29,31,27,59,63,74,,
FPS,3,,,65,24,20,17,35,48,54,,
FPS,3,,,65,85,157,168,85,138,140,,
FPS,3,,,65,59,39,54,69,81,59,,
FPS,3,,,65,34,34,26,53,75,73,,
FPS,3,,,70,45,37,29,78,90,49,,
FPS,3,,,70,38,28,18,27,62,38,,
FPS,3,,,70,30,60,26,58,92,88,,
FPS,3,,,70,89,32,35,27,59,67,,
FPS,3,,,70,70,36,26,69,100,67,,
FPS,3,,,70,43,94,48,71,100,104,,
FPS,3,,,70,71,91,34,66,108,101,,
FPS,3,,,70,21,34,14,45,102,67,,
FPS,3,,,70,19,29,17,46,67,47,,
FPS,3,,,70,34,54,40,50,87,96,,
FPS,3,,,70,27,32,30,48,72,84,,
FPS,3,,,70,29,47,45,56,83,77,,
FPS,3,,,70,36,58,51,43,139,81,,
FPS,3,,,70,24,39,28,34,79,43,,
FPS,3,,,70,33,33,29,47,87,57,,
FPS,3,,,70,37,29,24,53,78,75,,
FPS,3,,,70,23,18,16,43,47,32,,
FPS,3,,,70,18,28,22,28,29,35,,
FPS,3,,,70,17,28,18,37,51,35,,
FPS,3,,,70,19,26,20,18,33,35,,
FPS,3,,,70,17,19,18,32,19,28,,
FPS,3,,,70,17,17,19,64,65,29,,
FPS,3,,,70,13,19,12,32,29,33,,
FPS,3,,,75,9,12,9,6,14,6,,
FPS,3,,,75,37,26,24,41,51,36,,
FPS,3,,,75,9,21,8,12,11,5,,
FPS,3,,,75,27,25,23,43,58,52,,
FPS,3,,,75,18,22,16,23,28,17,,
FPS,3,,,75,34,37,48,49,104,97,,
FPS,3,,,75,39,45,32,43,81,88,,
FPS,3,,,75,39,29,30,42,97,85,,
FPS,3,,,75,20,12,11,22,23,11,,
FPS,3,,,75,48,40,45,57,102,105,,
FPS,3,,,75,9,5,2,7,22,13,,
FPS,3,,,75,42,50,26,45,61,60,,
FPS,3,,,75,48,32,42,45,72,69,,
FPS,3,,,75,39,54,38,56,111,101,,
FPS,3,,,75,52,21,20,60,73,55,,
FPS,3,,,75,53,86,65,59,100,102,,
FPS,3,,,80,17,20,19,29,23,23,,
FPS,3,,,80,28,43,42,47,75,71,,
FPS,3,,,80,58,83,57,112,212,170,,
FPS,3,,,80,33,50,31,81,135,153,,
FPS,3,,,80,39,42,37,16,27,32,,
FPS,3,,,80,60,56,32,60,96,81,,
FPS,3,,,80,39,61,67,15,23,31,,
FPS,3,,,80,78,95,59,58,90,35,,
FPS,3,,,80,50,50,30,58,100,138,,
FPS,3,,,80,21,30,23,47,37,62,,
FPS,3,,,80,54,53,36,45,100,71,,
FPS,3,,,80,73,76,65,62,130,118,,
FPS,3,,,80,93,96,75,84,147,93,,
FPS,3,,,85,88,89,65,88,94,131,,
FPS,3,,,85,51,61,48,82,194,136,,
FPS,3,,,85,46,37,48,88,111,81,,
FPS,3,,,85,71,112,107,118,207,154,,
FPS,3,,,85,38,49,41,37,78,63,,
FPS,3,,,85,35,59,46,39,88,67,,
FPS,3,,,85,79,103,82,99,204,157,,
FPS,3,,,90,88,144,68,81,144,122,,
FPS,3,,,90,66,91,64,75,133,114,,
FPS,3,,,90,11,9,9,9,7,6,,
FPS,3,,,90,68,68,77,68,132,122,,
FPS,3,,,95,27,34,30,35,100,87,,
FPS,3,,,95,65,62,85,104,182,158,,
FPS,3,,,95,32,56,52,47,79,64,,
FPS,3,,3-100-4,100,103,85,40,84,131,121,,
FPS,3,,3-100-5,100,11,13,14,20,14,10,,
FPS,3,,3-100-8,100,58,60,44,92,123,152,,
FPS,3,,3-100-9,100,126,38,24,59,73,97,,
FPS,3,,3-100-10,100,25,26,19,44,69,55,,
FPS,3,,,105,41,53,31,103,125,121,,
FPS,3,,,105,27,25,23,63,100,73,,
FPS,3,,,105,33,35,39,56,101,104,,
FPS,3,,,105,28,31,31,63,111,61,,
FPS,3,,,105,51,62,30,46,90,81,,
FPS,3,,,105,58,68,43,55,73,104,,
FPS,3,,,105,47,56,62,85,104,97,,
FPS,3,,,105,83,81,76,78,107,100,,
FPS,3,,,110,50,59,52,35,81,59,,
FPS,3,,,110,61,71,59,97,138,123,,
FPS,3,,,110,26,56,37,42,120,131,,
FPS,3,,,110,56,59,58,69,117,111,,
FPS,3,,,115,43,45,34,52,74,79,,
FPS,3,,,115,16,21,28,16,17,24,,
FPS,3,,,115,41,55,50,70,135,110,,
FPS,3,,,125,55,65,51,72,114,94,,
FPS,3,,,125,43,55,51,56,76,94,,
FPS,3,,,130,59,79,87,80,163,135,,
FPS,3,,,130,52,50,42,73,134,100,,
FPS,3,,,130,65,61,62,85,127,143,,
FPS,3,,,130,39,34,31,41,40,38,,
FPS,3,,,130,63,38,38,69,114,91,,
FPS,3,,,130,70,53,44,79,133,97,,
FPS,3,,,130,49,72,49,82,165,112,,
FPS,3,,,130,30,25,17,27,59,46,,
FPS,3,,,135,53,77,53,89,175,157,,
FPS,3,,,135,67,85,76,90,160,131,,
FPS,3,,,135,72,104,46,123,211,175,,
FPS,3,,,140,43,24,29,0,0,0,,
FPS,3,,,140,60,67,66,127,194,172,,
FPS,3,,,140,98,108,171,104,304,273,,
FPS,3,,,150,21,34,32,0,0,0,,
FPS,3,,,150,113,38,42,102,259,117,,
FPS,3,,,150,37,31,31,25,32,18,,
FPS,3,,,150,76,78,61,49,57,68,,
FPS,3,,,150,15,14,17,0,0,0,,
FPS,3,,,150,72,107,108,68,100,78,,
FPS,3,,3-150-2,150,56,34,42,35,35,43,,
FPS,3,,3-150-4,150,33,42,36,30,25,22,,
FPS,3,,3-150-5,150,16,22,19,10,18,4,,
FPS,3,,3-150-6,150,23,26,19,19,16,9,,
FPS,3,,3-150-8,150,26,30,29,19,22,8,,
FPS,3,,3-150-9,150,15,20,16,12,16,11,,
FPS,3,,3-150-10,150,45,45,43,29,52,21,,
FPS,3,,,155,69,124,94,79,87,77,,
FPS,3,,,155,90,194,212,94,170,129,,
FPS,3,,,155,71,82,68,50,100,85,,
FPS,3,,,160,98,133,133,97,199,221,,
FPS,3,,,160,135,100,68,141,190,222,,
FPS,3,,,160,84,79,67,123,198,232,,
FPS,3,,,170,52,62,61,61,90,73,,
FPS,3,,,170,65,56,49,70,43,31,,
FPS,3,,,170,83,132,77,98,132,166,,
FPS,3,,,170,52,95,73,108,175,183,,
FPS,3,,,175,131,150,176,144,224,270,,
FPS,3,,,175,19,24,26,17,21,17,,
FPS,3,,,185,27,35,28,0,0,0,,
FPS,3,,,185,85,200,235,141,270,214,,
FPS,3,,,185,66,64,77,143,226,251,,
FPS,3,,,195,51,66,50,44,97,62,,
FPS,3,,3-200-2,200,69,79,54,70,140,98,,
FPS,3,,3-200-7,200,95,100,97,69,164,112,,
FPS,3,,3-200-8,200,17,20,13,16,8,4,,
FPS,3,,,205,41,48,37,37,39,36,,
FPS,3,,3-200-9,205,114,121,83,88,127,67,,
FPS,3,,3-200-10,205,38,31,28,35,33,22,,
FPS,3,,,205,53,79,40,48,100,62,,
FPS,3,,,205,56,60,42,51,86,60,,
FPS,3,,,205,44,21,22,27,36,18,,
FPS,3,,,205,45,66,47,57,94,72,,
FPS,3,,,205,96,79,79,77,141,123,,
FPS,3,,,205,75,83,74,50,89,102,,
FPS,3,,,205,25,23,25,33,27,20,,
FPS,3,,,210,60,65,54,47,86,91,,
FPS,3,,,210,121,154,198,198,354,385,,
FPS,3,,,210,23,18,23,0,0,0,,
FPS,3,,,210,34,41,43,24,23,23,,
FPS,3,,,210,21,17,14,18,11,12,,
FPS,3,,,210,57,67,53,40,83,68,,
FPS,3,,,210,14,18,14,0,0,0,,
FPS,3,,,230,141,196,99,114,226,237,,
FPS,3,,,260,77,74,79,57,126,117,,
FPS,3,,,265,19,31,25,0,0,0,,
FPS,3,,,265,60,86,87,174,317,307,,
FPS,3,,3-450-1,455,92,43,31,104,141,158,,
FPS,3,,3-450-2,455,75,89,104,121,288,318,,
FPS,3,,,460,98,172,144,126,252,273,,
FPS,3,,,465,15,18,15,13,20,9,,
FPS,3,,,470,52,64,63,34,58,37,,
FPS,3,,,475,105,200,237,140,257,328,,
FPS,3,,,475,62,79,57,38,42,36,,
FPS,3,,,475,44,55,49,18,29,32,,
FPS,3,,,475,42,51,54,0,0,0,,
FPS,3,,3-500-1,500,38,49,36,12,11,6,,
FPS,3,,3-550-1,550,63,124,187,150,200,164,,
MOD,1,,1,0,49,74,61,,,,,
MOD,1,,2,0,89,34,33,,,,,
MOD,1,,3,0,62,74,55,,,,,
MOD,1,,4,0,71,58,56,,,,,
MOD,1,,5,0,67,45,41,,,,,
MOD,1,,6,0,71,54,53,,,,,
MOD,1,,7,0,42,65,63,,,,,
MOD,1,,8,0,59,72,57,,,,,
MOD,1,,9,0,44,73,46,,,,,
MOD,1,,10,0,69,97,73,,,,,
MOD,1,,,0,50,53,44,,,,,
MOD,1,,,0,48,28,23,,,,,
MOD,1,,,0,45,48,41,,,,,
MOD,1,,,0,67,90,64,,,,,
MOD,1,,,0,65,78,71,,,,,
MOD,1,,,0,57,48,38,,,,,
MOD,1,,,5,52,36,27,,,,,
MOD,1,,,5,68,99,70,,,,,
MOD,1,,,5,64,75,62,,,,,
MOD,1,,,5,39,55,31,,,,,
MOD,1,,,5,37,40,23,,,,,
MOD,1,,,0,53,70,63,,,,,
MOD,1,,,5,78,97,88,,,,,
MOD,1,,,5,69,88,75,,,,,
MOD,1,,,5,52,67,58,,,,,
MOD,1,,,5,65,74,73,,,,,
MOD,1,,,5,99,56,48,,,,,
MOD,1,,,5,62,44,43,,,,,
MOD,1,,,5,71,53,45,,,,,
MOD,1,,,5,62,68,49,,,,,
MOD,1,,,5,50,61,37,,,,,
MOD,1,,,5,48,48,26,,,,,
MOD,1,,,10,50,49,41,,,,,
MOD,1,,,10,76,77,56,,,,,
MOD,1,,,10,76,51,29,,,,,
MOD,1,,,10,62,75,73,,,,,
MOD,1,,,5,48,72,57,,,,,
MOD,1,,,5,53,46,43,,,,,
MOD,1,,,10,120,66,51,,,,,
MOD,1,,,5,43,78,52,,,,,
MOD,1,,,10,56,52,46,,,,,
MOD,1,,,10,73,57,36,,,,,
MOD,1,,,10,72,82,52,,,,,
MOD,1,,,10,67,68,59,,,,,
MOD,1,,,10,89,121,118,,,,,
MOD,1,,,10,58,82,77,,,,,
MOD,1,,,10,40,65,53,,,,,
MOD,1,,,10,64,88,76,,,,,
MOD,1,,,10,62,83,77,,,,,
MOD,1,,,10,57,76,43,,,,,
MOD,1,,,10,57,65,46,,,,,
MOD,1,,,15,50,68,35,,,,,
MOD,1,,,15,37,16,13,,,,,
MOD,1,,,15,45,47,33,,,,,
MOD,1,,,15,47,36,28,,,,,
MOD,1,,,15,53,75,55,,,,,
MOD,1,,,15,66,78,64,,,,,
MOD,1,,,10,65,89,83,,,,,
MOD,1,,,15,52,63,54,,,,,
MOD,1,,,15,59,72,59,,,,,
MOD,1,,,15,72,56,33,,,,,
MOD,1,,,15,48,50,43,,,,,
MOD,1,,,15,61,63,47,,,,,
MOD,1,,,15,68,66,55,,,,,
MOD,1,,,15,46,53,44,,,,,
MOD,1,,,15,68,55,55,,,,,
MOD,1,,,15,60,71,54,,,,,
MOD,1,,,15,62,27,13,,,,,
MOD,1,,,15,52,79,72,,,,,
MOD,1,,,15,68,71,52,,,,,
MOD,1,,,20,64,93,90,,,,,
MOD,1,,,20,78,72,54,,,,,
MOD,1,,,20,43,47,42,,,,,
MOD,1,,,20,55,53,39,,,,,
MOD,1,,,20,72,87,77,,,,,
MOD,1,,,20,100,48,39,,,,,
MOD,1,,,20,96,112,81,,,,,
MOD,1,,,20,66,89,83,,,,,
MOD,1,,,25,57,72,65,,,,,
MOD,1,,,30,82,84,65,,,,,
MOD,1,,,25,66,108,104,,,,,
MOD,1,,,25,59,89,77,,,,,
MOD,1,,,30,65,108,97,,,,,
MOD,1,,,30,85,131,118,,,,,
MOD,1,,,30,45,61,61,,,,,
MOD,1,,,30,113,103,98,,,,,
MOD,1,,,35,28,34,29,,,,,
MOD,1,,,35,39,62,48,,,,,
